Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
1760,r-H1GLL-5ST9_wzzhK-_CQ,4,658,3,San Francisco,CA,94109,American (New)
103rd Street Coffee Cart,gJsQyIBm6DkrTHVP1y-LIg,4.5,3,4,New York,NY,10025,Coffee & Tea
10Below Ice Cream,qfk_JyRqMmm6FDfoqN6GiA,4,1225,1,New York,NY,10013,Ice Cream & Frozen Yogurt
118 Kitchen,bZ1x7QN9ylQiGgBXS0I_9w,4,36,1,New York,NY,10035,Tex-Mex
12 Corners Coffee,slWILOuiZQFhao3_3lW3Dw,4.5,309,1,New York,NY,10002,Coffee & Tea
15 East Restaurant,GBWMJJ4_rDWqiXJ7AvHAOg,4,596,4,New York,NY,10003,Japanese
15 Romolo,m0ip9nECwVVjfjulwrKisQ,4,1020,2,San Francisco,CA,94133,Tapas/Small Plates
16 Handles,DldbsUqtMSDC1xIHLbnjng,4,88,1,New York,NY,10025,Ice Cream & Frozen Yogurt
16 Handles - UWS Amsterdam,oGoucpWHItedMM_4zFM8-Q,4,171,1,New York,NY,10023,Ice Cream & Frozen Yogurt
1601 Bar & Kitchen,do1T-8_w5HaLHBgMYLw2Xw,4,234,3,San Francisco,CA,94103,Asian Fusion
2nd Ave Smoke Shop,2rrJ-7S_3ibvj1Z7-CWzVg,4.5,10,4,New York,NY,10003,Tobacco Shops
2nd Ave Smoke Shop,2rrJ-7S_3ibvj1Z7-CWzVg,4.5,10,4,New York,NY,10003,Tobacco Shops
360 Steakhouse,OUsWEu6vYSzJ6JKLtZmTqQ,3.5,47,3,Council Bluffs,IA,51501,Steakhouses
360 Steakhouse,OUsWEu6vYSzJ6JKLtZmTqQ,3.5,47,3,Council Bluffs,IA,51501,Steakhouses
44 Drive Inn,cJDo08hcbx0bVxBYEXVTfw,5,1,1,Panora,IA,50216,Ice Cream & Frozen Yogurt
5 De Mayo Mexican Restaurant,XRkwjrqLpp_jXk4KhSAVYw,3.5,43,2,Des Moines,IA,50320,Mexican
501 Bar & Grill,xiQF96PnuiED2E6BliC-VQ,3,6,3,Lincoln,NE,68522,Dive Bars
501 Bar & Grill,xiQF96PnuiED2E6BliC-VQ,3,6,3,Lincoln,NE,68522,Dive Bars
501 Bar & Grill,xiQF96PnuiED2E6BliC-VQ,3,6,3,Lincoln,NE,68522,Dive Bars
54 Mint - Ristorante Italiano,QajaCa7rYHgaQ5TvZD6M-A,4,1045,3,San Francisco,CA,94103,Italian
5A5 Steak Lounge,Q8cYhJGa9pwlu63f-KMV-A,4,2017,3,San Francisco,CA,94111,Steakhouses
5A5 Steak Lounge,Q8cYhJGa9pwlu63f-KMV-A,4,2017,3,San Francisco,CA,94111,Steakhouses
651 Grill,ACzAxlmCyJX_oAzVEr5oCg,4,7,2,Blair,NE,68008,American (Traditional)
67 Orange Street,DzlCEhXW6OadK6ETcmJpwQ,4,334,2,New York,NY,10026,Lounges
801 Chophouse,mbOTWlu2aZRvBGcCF6BrZQ,4,143,4,Des Moines,IA,50309,Steakhouses
801 Chophouse,mbOTWlu2aZRvBGcCF6BrZQ,4,143,4,Des Moines,IA,50309,Steakhouses
801 Chophouse,mbOTWlu2aZRvBGcCF6BrZQ,4,143,4,Des Moines,IA,50309,Steakhouses
801 Chophouse at the Paxton,K61IcSFXZWmDme3vgMZsCg,4,283,4,Omaha,NE,68102,Steakhouses
801 Chophouse at the Paxton,K61IcSFXZWmDme3vgMZsCg,4,283,4,Omaha,NE,68102,Steakhouses
801 Chophouse at the Paxton,K61IcSFXZWmDme3vgMZsCg,4,283,4,Omaha,NE,68102,Steakhouses
801 Chophouse at the Paxton,K61IcSFXZWmDme3vgMZsCg,4,283,4,Omaha,NE,68102,Steakhouses
88 Lan Zhou Handmade Noodles,Lbs8QBRN1U7IYBo5Mcv-RQ,4,1515,1,New York,NY,10013,Chinese
9 South Chargrill,ZIaKcriUfO2g5Q-0xBDmnw,4,120,2,Lincoln,NE,68502,American (New)
901 Columbus Cafe,8O2Z292anffuimm9OXkbUA,4,327,1,San Francisco,CA,94133,Cafes
99 Favor Taste,Xf6e3HaP0AgMBxY7dEDkOA,4,1434,2,New York,NY,10002,Chinese
A & W Family Restaurant,QWGB9XW_ZU6uCnidscdyJg,3.5,17,1,Indianola,IA,50125,American (New)
A Dong Restaurant,0NWAuhxUfQoajRCqOO8d4A,4,228,1,Des Moines,IA,50309,Vegetarian
A Hill of Beans Coffee Roasters,UTs25cd-2u39sPXAxqNejA,4.5,43,2,Omaha,NE,68144,Coffee & Tea
È Tutto Qua,F6SOy6-3tP4i-ipACZUS0g,4,1951,2,San Francisco,CA,94133,Italian
A1 Thai Cuisine,mFfl9xcC5IP5Xcdit_p7sA,4.5,26,1,Marshalltown,IA,50158,Thai
A16,e3WDNQMYpLdMEmM2UV13rA,3.5,1899,3,San Francisco,CA,94123,Italian
ABC Kitchen,dMhRafXdr765DHe0k-QfaQ,4,2757,3,New York,NY,10003,American (New)
Abelardo's,bCTzuGn-CMYu4M23xJXGiw,4,38,1,West Des Moines,IA,50266,Mexican
Absinthe Brasserie & Bar,353bun0151fMbR3ut2d-nw,4,3128,3,San Francisco,CA,94102,French
Absinthe Brasserie & Bar,353bun0151fMbR3ut2d-nw,4,3128,3,San Francisco,CA,94102,French
Absolute Bagels,JV5oa5-KGdiWnqrKPoxSug,4.5,1179,1,New York,NY,10025,Bakeries
Acadian Grille Scratch Kitchen,rKd_24k2WevELAR6yoExew,4.5,34,2,Omaha,NE,68154,Cajun/Creole
Acappella,0ilxaqMZ-V-y-CsQnEpYWg,3.5,69,3,Edgewater,NJ,7020,Italian
Acapulco,Pl8ROGKCtpDfafI4eJXCMg,4,14,2,Wahoo,NE,68066,Latin American
Ace Wasabi  Rock-N-Roll Sushi,NMTWmJKWxJD1flwkn7JIPA,4,745,2,San Francisco,CA,94123,Sushi Bars
Acquerello,mDM7-ho67ePJXd5TodtCOg,4.5,1029,4,San Francisco,CA,94109,Italian
Acquerello,mDM7-ho67ePJXd5TodtCOg,4.5,1029,4,San Francisco,CA,94109,Italian
Acquerello,mDM7-ho67ePJXd5TodtCOg,4.5,1029,4,San Francisco,CA,94109,Italian
Adobe Mexican Restaurant,EnY5I6qJwyBE8BeWjryCKg,3.5,5,1,Audubon,IA,50025,Mexican
Aj's Eatery & Spirits,zgGpUfpHnQ-YaKNz-__n6w,1,1,3,Waterloo,IA,50702,Restaurants
AJ's Steakhouse,kItkfOCCqcrREjrofvajpA,4,19,3,Altoona,IA,50009,Steakhouses
AJ's Steakhouse,kItkfOCCqcrREjrofvajpA,4,19,3,Altoona,IA,50009,Steakhouses
AJ's Steakhouse,kItkfOCCqcrREjrofvajpA,4,19,3,Altoona,IA,50009,Steakhouses
Akebono 515,7EtdqYcINDyqdq-VZnBO_g,4.5,190,2,Des Moines,IA,50309,Sushi Bars
