Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Bi-Rite Creamery,4.5,9349,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
Mitchell's Ice Cream,4.5,3709,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
El Farolito,4.0,4506,1,San Francisco,CA,94110,Mexican
Saigon Sandwich,4.5,3067,1,San Francisco,CA,94102,Vietnamese
Golden Boy Pizza,4.5,3065,1,San Francisco,CA,94133,Pizza
Golden Gate Bakery,4.5,3079,1,San Francisco,CA,94133,Bakeries
Humphry Slocombe Ice Cream,4.0,3299,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
The Codmother Fish and Chips,4.5,2710,1,San Francisco,CA,94133,British
La Taqueria,4.0,3590,1,San Francisco,CA,94110,Mexican
Bob's Donut & Pastry Shop,4.5,2693,1,San Francisco,CA,94109,Bakeries
Arizmendi Bakery,4.5,1807,1,San Francisco,CA,94122,Bakeries
Philz Coffee,4.5,1626,1,San Francisco,CA,94110,Coffee & Tea
Anthony's Cookies,4.5,1599,1,San Francisco,CA,94110,Bakeries
Marco Polo Italian Ice Cream,4.5,1359,1,San Francisco,CA,94116,Ice Cream & Frozen Yogurt
Lou's Cafe,4.5,1402,1,San Francisco,CA,94118,Coffee & Tea
Philz Coffee,4.5,1492,1,San Francisco,CA,94102,Coffee & Tea
Mr. and Mrs. Miscellaneous,4.5,1381,1,San Francisco,CA,94107,Ice Cream & Frozen Yogurt
Philz Coffee,4.5,1375,1,San Francisco,CA,94158,Coffee & Tea
Genki Crepes & Mini-Mart,4.0,2136,1,San Francisco,CA,94118,Desserts
Rosamunde Sausage Grill - San Francisco,4.5,1550,1,San Francisco,CA,94117,Hot Dogs
Tacorea,4.5,1236,1,San Francisco,CA,94108,Mexican
Good Mong Kok Bakery,4.0,2186,1,San Francisco,CA,94108,Bakeries
Smitten Ice Cream,4.0,2346,1,San Francisco,CA,94102,Ice Cream & Frozen Yogurt
Philz Coffee,4.5,1036,1,San Francisco,CA,94114,Coffee & Tea
Benkyodo Co,4.5,889,1,San Francisco,CA,94115,Bakeries
Four Barrel Coffee,4.0,2021,1,San Francisco,CA,94103,Coffee & Tea
Garden Creamery,4.5,611,1,San Francisco,CA,94110,Ice Cream & Frozen Yogurt
Belly Good Cafe & Crepes,4.5,1221,1,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
The Chairman Truck,4.0,1407,1,San Francisco,CA,94102,Food Trucks
Roxie Food Center,4.5,941,1,San Francisco,CA,94112,Grocery
Roli Roti Gourmet Rotisserie,4.5,1376,1,San Francisco,CA,94105,Sandwiches
Submarine Center,4.5,1109,1,San Francisco,CA,94127,Sandwiches
Taqueria Cancún,4.0,1941,1,San Francisco,CA,94110,Mexican
Home,4.5,902,1,San Francisco,CA,94122,Coffee & Tea
Tommy's Joynt,4.0,2703,1,San Francisco,CA,94109,American (Traditional)
Devil's Teeth Baking Company,4.5,1417,1,San Francisco,CA,94122,Bakeries
Holy Gelato!,4.5,1010,1,San Francisco,CA,94122,Ice Cream & Frozen Yogurt
Boba Guys,4.0,1648,1,San Francisco,CA,94108,Coffee & Tea
Nick's Crispy Tacos,4.0,3153,1,San Francisco,CA,94109,Mexican
Hot Sauce and Panko,4.5,1007,1,San Francisco,CA,94109,Chicken Wings
Señor Sisig,4.0,1420,1,San Francisco,CA,94104,Filipino
Hot Cookie,4.0,1383,1,San Francisco,CA,94114,Bakeries
Andytown Coffee Roasters,4.5,732,1,San Francisco,CA,94122,Coffee & Tea
Mission Pie,4.0,1687,1,San Francisco,CA,94110,Bakeries
Sophie's Crepes,4.0,1632,1,San Francisco,CA,94115,Desserts
Acme Bread Company,4.5,802,1,San Francisco,CA,94105,Bakeries
Pancho Villa Taqueria,4.0,2369,1,San Francisco,CA,94103,Mexican
Blue Bottle Coffee,4.0,1462,1,San Francisco,CA,94111,Coffee & Tea
Thorough Bread & Pastry,4.5,790,1,San Francisco,CA,94114,Patisserie/Cake Shop
Wonderful Dessert & Cafe,4.0,1204,1,San Francisco,CA,94122,Candy Stores
Brenda's French Soul Food,4.0,9701,2,San Francisco,CA,94102,Breakfast & Brunch
Tartine Bakery & Cafe,4.0,7384,2,San Francisco,CA,94110,Bakeries
Hog Island Oyster Co,4.5,5336,2,San Francisco,CA,94111,Seafood
Burma Superstar,4.0,6287,2,San Francisco,CA,94118,Burmese
San Tung,4.0,6233,2,San Francisco,CA,94122,Chinese
B Patisserie,4.5,2126,2,San Francisco,CA,94115,Bakeries
Zazie,4.0,4040,2,San Francisco,CA,94117,Breakfast & Brunch
Fog Harbor Fish House,4.0,4621,2,San Francisco,CA,94133,Seafood
Little Star Pizza,4.5,2760,2,San Francisco,CA,94117,Pizza
Sotto Mare Oysteria & Seafood,4.5,3220,2,San Francisco,CA,94133,Seafood
Tony's Pizza Napoletana,4.0,4287,2,San Francisco,CA,94133,Pizza
Mama's On Washington Square,4.0,3949,2,San Francisco,CA,94133,Breakfast & Brunch
Sweet Maple,4.0,3058,2,San Francisco,CA,94115,American (Traditional)
Dottie's True Blue Cafe,4.0,4101,2,San Francisco,CA,94103,American (Traditional)
Suppenküche,4.0,3000,2,San Francisco,CA,94102,German
Beretta,4.0,3332,2,San Francisco,CA,94110,Italian
HRD,4.0,2361,2,San Francisco,CA,94107,Korean
Swan Oyster Depot,4.0,2522,2,San Francisco,CA,94109,Seafood
Kitchen Story,4.0,2665,2,San Francisco,CA,94114,Breakfast & Brunch
Blue Bottle Coffee,4.5,1651,2,San Francisco,CA,94102,Coffee & Tea
Mission Beach Cafe,4.0,2578,2,San Francisco,CA,94103,Coffee & Tea
Plow,4.0,2298,2,San Francisco,CA,94107,Breakfast & Brunch
Chez Maman East,4.5,1936,2,San Francisco,CA,94107,French
Limón Rotisserie,4.0,2988,2,San Francisco,CA,94110,Latin American
