Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Lucca Delicatessen,1bvordoxuK59aoPrOQpA7g,4.0,599,1,San Francisco,CA,94123,Delis
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,4.0,3151,1,San Francisco,CA,94109,Mexican
Jake's Steaks,ZPICS34Z5ieeGNNohW4Ynw,4.0,618,1,San Francisco,CA,94123,Sandwiches
The Sandwich Spot,Uq0qPR7dxtTYcpqR8G-nog,4.0,618,1,San Francisco,CA,94123,Sandwiches
Loving Cup,8LEnV8Z0-YKPWb1nLKgQHQ,4.0,1035,1,San Francisco,CA,94109,Desserts
Marina Submarine,c1uPQc6ylqB4Pj-KYB8cpw,4.0,381,1,San Francisco,CA,94123,Delis
Over the Moon,s0rMCa8QP8e2XdH3vAnoLA,4.0,311,1,San Francisco,CA,94109,Ice Cream & Frozen Yogurt
Pluto's,PuOsLglHAg0kpHVvGj2new,4.0,658,1,San Francisco,CA,94123,American (New)
Gio Gelati,JWsP9ZkE3gNuyk2TkdjzsA,5.0,86,1,San Francisco,CA,94123,Gelato
Toma,ngn0WekzH3vzraKDcYi5GQ,4.0,279,1,San Francisco,CA,94123,Mexican
The Black Horse London Pub,kM64kcWiK3TqhB0HeAUGeg,4.5,308,1,San Francisco,CA,94123,Pubs
Horseshoe Tavern,lXHw8t6SlpJf2qKiAN7PLA,4.0,263,1,San Francisco,CA,94123,Pubs
Chestnut Street Coffee Roastery,FCTaVlAbGzKNIA59mX38dg,4.0,289,1,San Francisco,CA,94123,Coffee & Tea
Los Hermanos Mexican Food,GNc57dU-_JHP-GaHMktqiw,3.5,279,1,San Francisco,CA,94123,Mexican
Bus Stop,YSKyqlDxFcXehH2RaYD67A,3.5,296,1,San Francisco,CA,94123,Sports Bars
La Canasta,SrICQysLvs2Ft2uqbY8nxg,3.5,301,1,San Francisco,CA,94123,Mexican
Marina Lounge,4wIqSoCBGo-VBHv-yqoGGA,4.0,117,1,San Francisco,CA,94123,Lounges
Mauna Loa Club,DzPKa_2ec8JD81Y7lHtuXg,3.5,245,1,San Francisco,CA,94123,Dive Bars
Monaghan's Bar,q1roWxUPn_W73lq5dsrsnw,3.5,208,1,San Francisco,CA,94123,Sports Bars
Viking's Giant Submarines,bgoSfVaZFXDthHLbWxyeQw,4.0,237,1,San Francisco,CA,94123,Sandwiches
Bay Subs & Deli,Nty8mxwmbRviQmWUKedhfg,4.5,132,1,San Francisco,CA,94115,Sandwiches
SF Hole In The Wall Pizza,iQwdiPPdfM5JqUPYmHo8Fg,3.5,184,1,San Francisco,CA,94123,Pizza
Fueling Station,PmIsfHFgjcxY5tWmsZKndA,4.5,109,1,San Francisco,CA,94109,Cafes
Golden Gate Market Deli & Liquor,jUH5iN_cTh1BsEcMECreZw,4.5,99,1,San Francisco,CA,94123,Delis
Pizzeria Avellino,YGdCt1nVHcQCCDVCCRmS6A,4.0,293,1,San Francisco,CA,94123,Pizza
Black Magic Voodoo Lounge,uA6jOVyeAXR8juuNqU_m9A,4.0,160,1,San Francisco,CA,94123,Dive Bars
Bar None,2DAdvB0JM1UTZXkVvk3_UA,2.5,644,1,San Francisco,CA,94123,Pubs
Peet's Coffee,LHGSCk3oESgDIY-hnG4Kfg,4.0,88,1,San Francisco,CA,94123,Coffee & Tea
Starbucks,eD-2M5raT0yHD9mEAmWtWw,3.5,141,1,San Francisco,CA,94123,Coffee & Tea
Marina Pizza and Caffe,wTJhR3NdvpCB2ZAx_qRiqQ,3.0,234,1,San Francisco,CA,94123,Pizza
The Final Final,y6pcHVbmjY-WkRIA_ZSj0Q,4.0,216,1,San Francisco,CA,94123,Sports Bars
Michaelis Food Store,Z1Umjcm-gD49iItsZtY5Fg,4.5,94,1,San Francisco,CA,94109,Grocery
Hunan Empire,aosv00cXSYlT9FqFnrV2Fw,3.5,113,1,San Francisco,CA,94123,Chinese
The Buccaneer,h5ZpWq-yKA4TYFjNOD_lOw,4.0,234,1,San Francisco,CA,94109,Dive Bars
Original Buffalo Wings,KFvymNR6xPbWJPrjtM5tlg,3.0,467,1,San Francisco,CA,94123,Chicken Wings
Union Street Coffee Roastery,FlX-HcLrnK9gzLh-BDJ7Tg,3.0,150,1,San Francisco,CA,94123,Coffee & Tea
Extreme Pizza - Marina District,IsaBDwCNmXw7b3HAtZ7F6Q,3.0,247,1,San Francisco,CA,94123,Pizza
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,4.0,155,1,San Francisco,CA,94115,Coffee & Tea
The Hollow Cow Market,zXPPrqWjmktnrqz5pDpUIQ,4.0,51,1,San Francisco,CA,94123,Delis
Hai Sun,Re5RjXCeNHf6yruPvArDdA,3.0,137,1,San Francisco,CA,94123,Chinese
Cresta's Twenty Two Eleven Club,5Ebc8-ecaLuaLDjKnmY7eg,4.0,77,1,San Francisco,CA,94109,Dive Bars
Greens Sports Bar,6JHpkG7ma5VqX1GDdkxg-g,3.5,240,1,San Francisco,CA,94109,Sports Bars
The Bagelry,7K8J0BwbhLt7oOSQ6OOQ_A,3.5,240,1,San Francisco,CA,94109,Bagels
Chestnut Diner,6hi9S4nLmAmk0KYr_EFNCQ,3.5,114,1,San Francisco,CA,94123,Diners
Cafe Franco,6ynZSdeV_8We1d9gzx93cQ,4.5,55,1,San Francisco,CA,94123,Salad
First Cup,z6DlLVZXBmLz4wKWLQBAGA,4.0,54,1,San Francisco,CA,94109,Coffee & Tea
CC's Cocktails,L1TvomMCqqrW9XfzzmXfIg,4.5,29,1,San Francisco,CA,94123,Lounges
Corsagna Deli,Pwrgh3jVDJyY_6aLQ_5C-g,4.5,39,1,San Francisco,CA,94123,Delis
Peet's Coffee,3tdkb5CBqIw0FB7fIwGqOQ,4.0,84,1,San Francisco,CA,94109,Coffee & Tea
Notes From Underground,Dkte2ZWlJdKG2NTSYLF3lQ,4.0,91,1,San Francisco,CA,94109,Coffee & Tea
Pacific Catch,5xp-qHGhzEzXevsSzYrwkg,4.0,1518,2,San Francisco,CA,94123,Seafood
Blackwood,UGKNNQ6bjL-ZttHSdZISfA,4.0,1328,2,San Francisco,CA,94123,Thai
SusieCakes,MKjhQLLVP0udUB6P-rv_Aw,4.0,1052,2,San Francisco,CA,94123,Bakeries
Gamine,RM1ioN-76NzXDbfv63GhTQ,4.0,875,2,San Francisco,CA,94123,French
Roam Artisan Burgers,6wUNarxe7sJTriiqLjZHAA,4.0,1482,2,San Francisco,CA,94123,Burgers
Home Plate,kesgk8dCRyg3qRDYpuAKGg,4.0,912,2,San Francisco,CA,94123,Breakfast & Brunch
The Italian Homemade Company,FRpULkKmvD9caSKabQzq5w,4.5,694,2,San Francisco,CA,94123,Italian
Delarosa,QQkroHtwS96-dzMpT4a-DA,4.0,1369,2,San Francisco,CA,94123,Italian
Alegrias,tkLC24zVhWLCCFQp3NCKMw,4.0,728,2,San Francisco,CA,94123,Spanish
Rooster & Rice,-Wei8JiA-RBzuSnO_9X0FQ,4.5,383,2,San Francisco,CA,94123,Chicken Shop
Ace Wasabi  Rock-N-Roll Sushi,NMTWmJKWxJD1flwkn7JIPA,4.0,745,2,San Francisco,CA,94123,Sushi Bars
Castagna,Ffb9HJIrt4YPFCQIpBg6gw,4.5,345,2,San Francisco,CA,94123,Italian
Bistro Aix,j1yOqKczaI4czwycWDcspw,4.0,614,2,San Francisco,CA,94123,French
Brazen Head,0PLv5h5eRTG6fuWLpUmf4A,4.0,648,2,San Francisco,CA,94123,Steakhouses
Tacolicious,hcGIDuoE0Hn3-XKuICP0mg,3.5,1504,2,San Francisco,CA,94123,Mexican
Palm House,9nltvO9__dkyRIT17D5TqQ,4.0,643,2,San Francisco,CA,94123,Caribbean
Blue Barn Gourmet,9Tg6-QXCbL6LribaO5S4Lw,4.0,825,2,San Francisco,CA,94123,Sandwiches
Super Duper Burgers,CR5_3AHC-CqySDwOrynxWA,4.0,774,2,San Francisco,CA,94123,Burgers
Chubby Noodle,-D2haB9KuDk9a9OWKFjM0A,4.0,551,2,San Francisco,CA,94123,Noodles
Tacko,uUWH7T9V0kyu-3nig_gatQ,4.0,670,2,San Francisco,CA,94123,Mexican
Patxi's Pizza,mMbfBqC3RHiGWGZoY0eWCg,3.5,851,2,San Francisco,CA,94123,Pizza
Rose's Cafe,KewsTgYKXUPuUU_X1I3O6w,3.5,894,2,San Francisco,CA,94123,Italian
La Mediterranee,iZ5VBmyFAZyJCt88KLwhJw,4.0,1408,2,San Francisco,CA,94115,Middle Eastern
Kara's Cupcakes,LD-AEBPmSwaQ1eWf9ZKLcQ,4.0,1217,2,San Francisco,CA,94123,Bakeries
Nectar Wine Lounge,wr8AESmBkc7-nuQbg191QA,4.0,477,2,San Francisco,CA,94123,Wine Bars
Causwells,DL-2iaugPoULjvZ6pyNRAQ,4.0,624,2,San Francisco,CA,94123,American (New)
Ly's Vietnamese Cuisine,t6TROjhvQzXJEhjI_nm08g,4.5,358,2,San Francisco,CA,94123,Vietnamese
The Plant Café Organic,rR_7mgpw0FmPgrTMJRsmuQ,3.5,928,2,San Francisco,CA,94123,Vegetarian
Leopold's,sQavxElZ71EGMrQ1zktn8Q,4.5,983,2,San Francisco,CA,94109,German
The Tipsy Pig,lbH9iQJM4wwgPQI2RL1oPg,3.5,1453,2,San Francisco,CA,94123,Gastropubs
The Dorian,dglMkHYfCycYX3MX92oFxg,4.0,404,2,San Francisco,CA,94123,American (Traditional)
Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,4.5,755,2,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Ristorante Parma,mf8cgiuuHtO8aDQf1QUXWg,4.0,365,2,San Francisco,CA,94123,Italian
The Original Ghirardelli Ice Cream & Chocolate Shop,vzBSlQezq2GJkDeqBQxdtw,4.0,2296,2,San Francisco,CA,94109,Ice Cream & Frozen Yogurt
Flores,tKmqlKWOMMiU8pn0gLliXA,4.0,329,2,San Francisco,CA,94123,Mexican
MAC'D,jvYlBwqNkkD32Q-4VPLK9Q,4.0,530,2,San Francisco,CA,94123,Comfort Food
Marengo,jdxZe4JJJRcoeGnG2wtB5g,4.0,307,2,San Francisco,CA,94123,American (Traditional)
Helmand Palace,ODed3UyqDFIFs3gDcXhm7A,4.5,761,2,San Francisco,CA,94109,Afghan
Wrecking Ball Coffee Roasters,jdtLZsekui2VR9Xk_0aK1w,4.5,215,2,San Francisco,CA,94123,Coffee Roasteries
Roma Antica,B09WOy0W83Od-Xw4xEXxog,4.5,248,2,San Francisco,CA,94123,Italian
Pizzeria Delfina,wPJjpOZ0mnsajJLBkWUnwA,4.0,1418,2,San Francisco,CA,94115,Pizza
Nabe,8iU_Gr2XdRt9D67g8B6pLA,4.5,143,2,San Francisco,CA,94123,Hot Pot
Yukol Place Thai Cuisine,Nsi7vy0kCVwlmvn4fgAIOA,4.0,365,2,San Francisco,CA,94123,Thai
The Brixton,hg0cuVFIqz2C4w6RsAuohA,3.5,782,2,San Francisco,CA,94123,American (New)
Viva Goa,SAxC2Qim3Zd_GmTRKJOqiQ,4.0,399,2,San Francisco,CA,94123,Indian
Vegan Picnic,qr9Tgbs4g7sf5azGc0wMuA,4.5,218,2,San Francisco,CA,94123,Vegan
Balboa Cafe,7ZCuoFL4bmDY0Eh3bIZ2Jw,3.5,568,2,San Francisco,CA,94123,Bars
Jane on Fillmore,Xc_ZRIqAbNfUb2m54xnRoA,4.0,883,2,San Francisco,CA,94115,Coffee & Tea
Squat & Gobble,C-FmlwtyYfNJ_47T0xyS1g,3.5,837,2,San Francisco,CA,94123,Creperies
Lite Bite,3hInKoS_u0FPJMIpbITsHw,4.5,258,2,San Francisco,CA,94123,American (New)
Isa Restaurant,QINiEjMRGA7pKfvhPQtfBg,4.0,1936,3,San Francisco,CA,94123,French
House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,4.0,6538,3,San Francisco,CA,94109,American (Traditional)
Zushi Puzzle,u2qFhVAiH3kQIGhEW6PmMA,4.0,1302,3,San Francisco,CA,94123,Sushi Bars
Terzo,mpuhp2b83qNAKcE19-dSjQ,4.0,588,3,San Francisco,CA,94123,Mediterranean
Capannina,HWWXRD3KWJRB-WBuXX9RKQ,4.0,783,3,San Francisco,CA,94123,Italian
Bobo's,yNU6sPRWzVl0ngCRqat1TQ,4.0,1937,3,San Francisco,CA,94123,Steakhouses
Izzy's San Francisco,ClL-QEflsWyrUA9ybj5vSg,3.5,956,3,San Francisco,CA,94123,Steakhouses
A16,e3WDNQMYpLdMEmM2UV13rA,3.5,1899,3,San Francisco,CA,94123,Italian
The MINA Test Kitchen,RNa3UQZiYV6B25J6J5bpSA,4.0,247,3,San Francisco,CA,94123,Pop-Up Restaurants
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4.0,1947,3,San Francisco,CA,94109,Steakhouses
Maybeck's,bvqcwnYisSiyvaRvobBJLA,4.0,254,3,San Francisco,CA,94123,American (New)
Cafe Boho,DP2HJpQ0lOrrY8efqB69aA,4.5,67,3,San Francisco,CA,94123,American (New)
Rapha - San Francisco,K8EcFpeCVOOJNYlWE6gMcQ,4.0,98,3,San Francisco,CA,94123,Sports Wear
Matterhorn Restaurant,av8vitp4twNYvUi4Ox0pGw,3.5,333,3,San Francisco,CA,94109,Fondue
McCormick & Kuleto's Seafood & Steaks,afBjDUDJ29UEz96uZD27mA,3.0,1113,3,San Francisco,CA,94109,Seafood
Chotto,W3Ap2qzSXJ9S0S_Mrjv2CA,4.0,589,3,San Francisco,CA,94123,Japanese
Parigo,jRo4f2JpghFZE46SDU4jfQ,4.5,40,3,San Francisco,CA,94123,Wine Bars
Bobo's Burger Bar,4QkR4-SkwuhocxGCn0bs5A,4.0,93,3,San Francisco,CA,94123,Burgers
